+Crataegomespilus dardarii
Cyrilla parvifolia
Cyrtandra pearsallii
Cyrtocarpa procera
Cytisus supranubius
Dalbergia acuta
Dalbergia heudelotii
Dalbergia rubiginosa
Dalea lemmonii
Danthonia thermalis
Dasyphyllum ferox
Davidia involucrata
Delissea habenata
Delphinium greenei
Demosthenesia mandonii
Dendrolobium arbuscula
Dermatocarpon lorenzianum
Desmanthus spp.
Desmodium nudiflorum
Deutzia x hybrida
Dianthus cachemiricus
Dianthus lactiflorus
Dianthus spiculifolius
Dicentra spectabilis
Dichanthium tenue
Dicliptera sexangularis
Dictyonema sericeum
Dieffenbachia nitidipetiolata
Digitaria badia
Digitaria papposa
Dimocarpus spp.
Dionysia involucrata
Dioscorea pynaertii
Diospyros papuana
Diplacus grandiflorus
Diplosoma retroversum
Dipterocarpus verrucosus
Disocactus quezaltecus
Ditremexa medsgeri
Doellingeria scabra
Dorema ammoniacum
Draba californica
Draba reptans
Dracophyllum strictum
Drosera filiformis
Drynaria sparsisora
Dryopteris saxatilis
Dubautia ×thyrsiflora
Duranta arida
Dyssodia greggii
Echeveria peacockii
Echinocereus fasciculatus
Echinomastus mariposensis
Eggelingia spp.
Elaeodendron xylocarpum
Eleocharis capitata
Eleocharis uniglumis
Elsholtzia densa
Elymus interruptus
Elymus x lineariglumis
Encalypta flowersiana
Encyclia hybr.
Ensete hybr.
Epallageiton jonesii
Epidendrum latifolium
Epilobium pringleanum
Episcia lilacina
Eragrostis falcata
Eragrostis spicata
Eremogone pumicola
Eriastrum hooveri
Ericameria parishii
Erigeron elmeri
Erigeron platyphyllus
Eriobotrya serrata
Eriogonum acaule
Eriogonum flavum
Eriogonum pedunculatum
Eriogonum zionis
Eriosyce aerocarpa
Erpodium domingense
Eryngium wrightii
Erythranthe geyeri
Erythronium montanum
Escobaria chaffeyi
Eucalyptus beyeri
Eucalyptus globoidea
Eucalyptus paliformis
Eucalyptus uncinata
Eugenia bahamensis
Eugenia supra-axillaris
Euonymus hamiltonianus
Eupatorium leptophyllum
Euphorbia angularis
Euphorbia brachycera
Euphorbia crassipes
Euphorbia exigua
Euphorbia halipedicola
Euphorbia kuwaleana
Euphorbia mitriformis
Euphorbia paulianii
Euphorbia radians
Euphorbia squamigera
Euphorbia versicolores
Eurhynchium riparioides
Euterpe spp.
Exogonium microdactylum
Faramea occidentalis
Ferocactus wislizeni
Festuca cumminsii
Festuca oregona
Ficus arfakensis
Ficus nymphaeifolia
Filago pyramidata
Fissidens donnellii
Flemingia procumbens
Forsellesia pungens
Fragaria x bringhurstii
Fraxinus baroniana
Fritillaria atropurpurea
Fuchsia arborescens
Furcraea selloa
Galactia dubia
Galega lindblomii
Galium margaricoccum
Gamochaeta simplicicaulis
Gardneria nutans
Gaultheria glomerata
Geigeria burkei
Gentiana bisetaea
Gentiana straminea
Geranium afrum
Geranium durangense
Geranium madrense
Geranium retrorsum
Geranium x antipodeum
Geum pentapetalum
Gilia depressa
Gilmania luteola
Glandularia drummondii
Gleichenia owhyhensis
Glyceria leptostachya
Glycosmis singuliflora
Gnephosis drummondii
Gompholobium pinnatum
Gonystylus brunnescens
Gossypium pulchellum
Grangeria borbonica
Gratiola ramosa
Grewia pachycalyx
Grindelia decumbens
Groutiella tumidula
Guizotia zavattarii
Gymnanthemum coloratum
Gymnosporia cassinoides
Gyrophora hyperborea
Habrodon leucotrichus
Hakea incrassata
Hamamelis virginiana
Haplopappus linearifolius
Harrisia fragrans
Hedeoma acinoides
Hedyotis corymbosa
Hedysarum mackenziei
Helianthella gypsophila
Helianthus porteri
Heliconia stricta
Heliotropium pringlei
Hemerocallis spp.
Hepatica acutiloba
Herniaria glabra
Hesperonia cedrosensis
Heteropterys umbellata
Heuchera missouriensis
Hibiscus articulatus
Hibiscus sabdariffa
Hieracium paniculatum
Hippeastrum phycelloides
Holacantha emoryi
Homalothecium megaptilum
Hordeum fuegianum
Hosackia incana
Hovea chorizemifolia
Humulus japonicus
Hydnophytum longiflorum
Hydrophylax maritima
Hymenachne pernambucensis
Hymenopappus flavescens
Hyophorbe verschaffeltii
Hypericum fasciculatum
Hypericum x cyathiflorum
Hypogymnia krogiae
Hyptis suaveolens
Ilex curtissii
Ilex volkensiana
Impatiens balfourii
Impatiens decaryana
Impatiens hengduanensis
Impatiens longicornuta
Impatiens odontosepala
Impatiens rizaliana
Impatiens trichosperma
Indigofera angustata
Indigofera holubii
Indigofera subulata
Inga multijuga
Ionopsis hybr.
Ipomoea huayllae
Ipomoea steudelii
Iris anguifuga
Iris fuscirosea
Iris narcissiflora
Iris tadshikorum
Isatis tinctoria
Isodon effusus
Isopogon dawsonii
Ivesia muirii
Jacksonia dilatata
Jarilla heterophylla
Juglans hindsii
Juncus debilis
Juncus subnodulosus
Juniperus morrisonicola
Justicia lanceolata
Kalanchoe lanceolata
Keckiella cordifolia
Kitaibela vitifolia
Koeleria cairnesiana
Kosteletzkya althaeifolia
Kyllinga pumila
Lachnocaulon eciliatum
Lactuca tenerrima
Lallemantia peltata
Lantana trifolia
Lasallea adnata
Lathyrus bolanderi
Lathyrus setifolius
Lavandula x limae
Lecania fuscella
Lecanora contractula
Lecanora neoalbomarginata
Lecanora urceolata
Lecidea carbonoidea
Lecidea hypopta
Lecidea praeruptorum
Lecidella bullata
Leiphaimos aphylla
Leontopodium leiolepis
Lepidium medium
Lepraria neglecta
Leptoderris nobilis
Leptolobium bijugum
Leptotaenia multifida
Lespedeza ×longifolia
Lessertia depressa
Leucanthemum nipponicum
Leucothoe editorum
Leysera leyseroides
Lichenoconium erodens
Ligustrum lucidum
Lilium neilgherrense
Limnophila rugosa
Limonium lobatum
Linanthus campanulatus
Lindera spp.
Linum lundellii
Lipochaeta kamolensis
Listera ovata
Lithospermum erythrorhizon
Lobelia alsinoides
Lobivia lateritia
Lomariopsis tenuifolia
Lomatium tamanitchii
Lonicera implexa
Lophatherum gracile
Lotononis arenicola
Lotus denticulatus
Lotus spectabilis
Ludwigia sedoides
Lupinus arenicola
Lupinus digitatus
Lupinus kuschei
Lupinus otto-buchtienii
Lupinus soratensis
Luzula fastigiata
Lycium depressum
Lycopodium sintenisii
Lyonia ovalifolia
Lysimachia remyi
Machaeranthera annua
Machaerium firmum
Macroptilium fraternum
Madia elegans
Magnolia splendens
Maireana humillima
Malaxis massonii
Malus malus
Malvastrum coccineum
Mammillaria runyonii
Mangifera sumbawaensis
Manihot reniformis
Marah gilensis
