Hippuris vulgaris
Holcus lanatus
Holodiscus discolor
Holodiscus dumosus
Homalia trichomanoides
Homalothecium arenarium
Hordeum brachyantherum
Hordeum pusillum
Hordeum vulgare
Houttuynia cordata
Hudsonia tomentosa
Huperzia acerosa
Huperzia filiformis
Hura crepitans
Hyacinthoides non-scripta
Hybanthus linearifolius
Hydrangea macrophylla
Hydrangea quercifolia
Hydrocleys nymphoides
Hydrolea quadrivalvis
Hydrophyllum capitatum
Hydrophyllum occidentale
Hylocomium splendens
Hylotelephium telephium
Hymenaea courbaril
Hymenocallis liriosme
Hymenocallis occidentalis
Hymenoclea monogyra
Hymenophyllum decurrens
Hypericum anagalloides
Hypericum ascyron
Hypericum boreale
Hypericum calycinum
Hypericum cistifolium
Hypericum crux-andreae
Hypericum densiflorum
Hypericum denticulatum
Hypericum fasciculatum
Hypericum galioides
Hypericum gentianoides
Hypericum mutilum
Hypericum prolificum
Hypericum punctatum
Hypolepis urbanii
Hypopterygium fauriei
Hypoxis hirsuta
Iberis sempervirens
Ibicella lutea
Ilex ambigua
Ilex amelanchier
Ilex cassine
Ilex coriacea
Ilex cornuta
Ilex crenata
Ilex decidua
Ilex glabra
Ilex opaca
Ilex verticillata
Ilex vomitoria
Iliamna rivularis
Illicium floridanum
Impatiens capensis
Impatiens pallida
Indigofera hirsuta
Inga laurina
Inga vera
Ipomoea nil
Ipomoea pes-caprae
Ipomopsis aggregata
Iris bracteata
Iris fulva
Iris hexagona
Iris missouriensis
Iris tenax
Iris virginica
Isoetes bolanderi
Itea virginica
Iva frutescens
Ivesia santolinoides
Jacquemontia ovalifolia
Jacquinia armillaris
Jamesia americana
Joinvillea ascendens
Juglans cinerea
Juglans major
Juglans microcarpa
Juglans nigra
Juglans regia
Julella fallaciosa
Juncus acuminatus
Juncus alpinoarticulatus
Juncus arcticus
Juncus articulatus
Juncus biflorus
Juncus biglumis
Juncus brachycarpus
Juncus brachycephalus
Juncus bufonius
Juncus canadensis
Juncus castaneus
Juncus confusus
Juncus dichotomus
Juncus drummondii
Juncus effusus
Juncus ensifolius
Juncus interior
Juncus longistylis
Juncus marginatus
Juncus megacephalus
Juncus mertensianus
Juncus mexicanus
Juncus nevadensis
Juncus nodosus
Juncus parryi
Juncus repens
Juncus roemerianus
Juncus scirpoides
Juncus secundus
Juncus subcaudatus
Juncus tenuis
Juncus torreyi
Juncus triglumis
Juncus validus
Juniperus chinensis
Juniperus communis
Juniperus conferta
Juniperus horizontalis
Juniperus monosperma
Juniperus occidentalis
Juniperus osteosperma
Juniperus rigida
Juniperus scopulorum
Juniperus virginiana
Justicia americana
Kalmia latifolia
Kalmia microphylla
Kalmia polifolia
Kirschsteiniothelia acerina
Koanophyllon dolicholepis
Koeleria macrantha
Koelreuteria paniculata
Koerberia biformis
Kohlmeyera complicatula
Krameria erecta
Krascheninnikovia lanata
Kummerowia stipulacea
Kummerowia striata
Lablab purpureus
Lachnanthes caroliana
Lactuca serriola
Lagerstroemia indica
Laguncularia racemosa
Landoltia punctata
Lantana canescens
Larix decidua
Larix kaempferi
Larix laricina
Larix lyallii
Larix occidentalis
Lasallia papulosa
Lathyrus hirsutus
Lathyrus japonicus
Lathyrus latifolius
Lathyrus littoralis
Lathyrus polyphyllus
Lathyrus sylvestris
Lathyrus tuberosus
Lavatera assurgentiflora
Layia munzii
Lecania subfuscula
Lecanora argopholis
Lecanora torrida
Lecidoma demissum
Ledum glandulosum
Ledum groenlandicum
Ledum palustre
Leea indica
Leersia lenticularis
Leersia oryzoides
Leersia virginica
Leitneria floridana
Lemna minor
Lemna trisulca
Lemna valdiviana
Lepanthes rubripetala
Lepianthes peltata
Lepidium montanum
Lepisorus thunbergianus
Lepraria lobificans
Leprocaulon microscopicum
Leptochloa dubia
Leptochloa fusca
Leptosiphon grandiflorus
Leptosiphon nudatus
Lespedeza bicolor
Lespedeza capitata
Lespedeza hirta
Lespedeza thunbergii
Lespedeza virgata
Lessingia germanorum
Lethariicola cucularis
Letrouitia domingensis
Lettauia cladoniicola
Leucaena leucocephala
Leucaena retusa
Leucanthemum vulgare
Leucobryum albidum
Leucodon brachypus
Leucothoe axillaris
Leucothoe fontanesiana
Leucothrinax morrisii
Leymus angustus
Leymus arenarius
Leymus cinereus
Leymus condensatus
Leymus flavescens
Leymus mollis
Leymus racemosus
Leymus salinus
Leymus triticoides
Liatris gracilis
Liatris pilosa
Liatris punctata
Liatris pycnostachya
Liatris spicata
Liatris squarrulosa
Liatris virgata
Licaria parvifolia
Lichenochora thallina
Lichenostigma elongata
Ligustrum amurense
Ligustrum japonicum
Ligustrum ovalifolium
Ligustrum vulgare
Lilaea scilloides
Lilaeopsis occidentalis
Lilium grayi
Limnobium spongia
Limonium carolinianum
Linanthus pungens
Linaria dalmatica
Lindera benzoin
Linum lewisii
Linum striatum
Lippia micromera
Liquidambar styraciflua
Liriodendron tulipifera
Liriope muscari
Listera convallarioides
Lithospermum ruderale
Littorella uniflora
Llimoniella neglecta
Lobelia cardinalis
Lobelia dortmanna
Lobothallia melanaspis
Lobothallia praeradiosa
Loeseneriella macrantha
Lolium perenne
Lolium rigidum
Lomatium canbyi
Lomatium cous
Lomatium dissectum
Lomatium macrocarpum
Lomatium triternatum
Lonicera emphyllocalyx
Lonicera involucrata
Lonicera japonica
Lonicera maackii
Lonicera sempervirens
Lonicera tatarica
Lonicera utahensis
Lophosoria quadripinnata
Lorentziella imbricata
Lotus corniculatus
Lotus crassifolius
Lotus pedunculatus
Lotus tenuis
Lotus wrightii
Ludwigia decurrens
Ludwigia palustris
Lunularia cruciata
Lupinus albicaulis
Lupinus albus
Lupinus angustifolius
Lupinus arboreus
Lupinus arcticus
Lupinus argenteus
Lupinus caespitosus
Lupinus caudatus
Lupinus covillei
Lupinus elegans
Lupinus elmeri
Lupinus havardii
Lupinus latifolius
Lupinus lepidus
Lupinus luteolus
Lupinus luteus
Lupinus magnificus
Lupinus nevadensis
Lupinus nootkatensis
Lupinus palmeri
Lupinus sericeus
Lupinus sulphureus
Lupinus ×alpestris
Luzula parviflora
Luzula piperi
Luzula spicata
Lycium carolinianum
Lycium pallidum
Lycium sandwicense
Lycopodium annotinum
Lycopus americanus
Lycopus asper
Lycopus rubellus
Lycopus virginicus
Lygodium auriculatum
Lyonia ligustrina
Lyonia lucida
Lysimachia lanceolata
Lysimachia thyrsiflora
Machaeranthera bigelovii
Machaeranthera canescens
Machaeranthera tanacetifolia
Maclura pomifera
Macroptilium atropurpureum
Magnolia acuminata
Magnolia fraseri
Magnolia grandiflora
Magnolia portoricensis
Magnolia stellata
Magnolia tripetala
Magnolia virginiana
Magnolia ×soulangiana
Mahonia aquifolium
Mahonia bealei
Mahonia nervosa
Mahonia repens
Malacothamnus densiflorus
Malacothrix foliosa
Malus floribunda
Malus fusca
Malus ioensis
Malus mandshurica
Malus sargentii
Malus sylvestris
Malus toringo
Malus zumi
Malus ×asiatica
Mammea americana
Mangifera indica
