Abelia ×grandiflora
Helianthus debilis
Helianthus giganteus
Helianthus grosseserratus
Helianthus maximiliani
Helianthus nuttallii
Helianthus tuberosus
Helianthus ×laetiflorus
Heliconia bihai
Heliopsis helianthoides
Heliotropium angiospermum
Heliotropium curassavicum
Heliotropium torreyi
Helodium blandowii
Hemarthria altissima
Hemizonia fasciculata
Henicodium geniculatum
Henriettea squamulosum
Heppia adglutinata
Heracleum maximum
Herbertus aduncus
Herbertus sendtneri
Hernandia labyrinthica
Hesperis matronalis
Hesperocyparis arizonica
Hesperolinon bicarpellatum
Hesperostipa comata
Hesperostipa spartea
Hesperoyucca whipplei
Heterocarpon ochroleucum
Heterocladium macounii
Heteropogon contortus
Heteropterys wydleriana
Heterotheca villosa
Heuchera cylindrica
Heuchera sanguinea
Hibiscadelphus giffardianus
Hibiscus aculeatus
Hibiscus laevis
Hibiscus moscheutos
Hieracium albiflorum
Hieracium scouleri
Hierochloe odorata
Hilaria belangeri
Hippophae rhamnoides
Hippuris lanceolata
Hippuris vulgaris
Holcus lanatus
Holodiscus discolor
Holodiscus dumosus
Homalia trichomanoides
Homalothecium arenarium
Hordeum brachyantherum
Hordeum pusillum
Hordeum vulgare
Houttuynia cordata
Hudsonia tomentosa
Huperzia acerosa
Huperzia filiformis
Hura crepitans
Hyacinthoides non-scripta
Hybanthus linearifolius
Hydrangea macrophylla
Hydrangea quercifolia
Hydrocleys nymphoides
Hydrolea quadrivalvis
Hydrophyllum capitatum
Hydrophyllum occidentale
Hylocomium splendens
Hylotelephium telephium
Hymenaea courbaril
Hymenocallis liriosme
Hymenocallis occidentalis
Hymenoclea monogyra
Hymenophyllum decurrens
Hypericum anagalloides
Hypericum ascyron
Hypericum boreale
Hypericum calycinum
Hypericum cistifolium
Hypericum crux-andreae
Hypericum densiflorum
Hypericum denticulatum
Hypericum fasciculatum
Hypericum galioides
Hypericum gentianoides
Hypericum mutilum
Hypericum prolificum
Hypericum punctatum
Hypolepis urbanii
Hypopterygium fauriei
Hypoxis hirsuta
Iberis sempervirens
Ibicella lutea
Ilex ambigua
Ilex amelanchier
Ilex cassine
Ilex coriacea
Ilex cornuta
Ilex crenata
Ilex decidua
Ilex glabra
Ilex opaca
Ilex verticillata
Ilex vomitoria
Iliamna rivularis
Illicium floridanum
Impatiens capensis
Impatiens pallida
Indigofera hirsuta
Inga laurina
Inga vera
Ipomoea nil
Ipomoea pes-caprae
Ipomopsis aggregata
Iris bracteata
Iris fulva
Iris hexagona
Iris missouriensis
Iris tenax
Iris virginica
Isoetes bolanderi
Itea virginica
Iva frutescens
Ivesia santolinoides
Jacquemontia ovalifolia
Jacquinia armillaris
Jamesia americana
Joinvillea ascendens
Juglans cinerea
Juglans major
Juglans microcarpa
Juglans nigra
Juglans regia
Julella fallaciosa
Juncus acuminatus
Juncus alpinoarticulatus
Juncus arcticus
Juncus articulatus
Juncus biflorus
Juncus biglumis
Juncus brachycarpus
Juncus brachycephalus
Juncus bufonius
Juncus canadensis
Juncus castaneus
Juncus confusus
Juncus dichotomus
Juncus drummondii
Juncus effusus
Juncus ensifolius
Juncus interior
Juncus longistylis
Juncus marginatus
Juncus megacephalus
Juncus mertensianus
Juncus mexicanus
Juncus nevadensis
Juncus nodosus
Juncus parryi
Juncus repens
Juncus roemerianus
Juncus scirpoides
Juncus secundus
Juncus subcaudatus
Juncus tenuis
Juncus torreyi
Juncus triglumis
Juncus validus
Juniperus chinensis
Juniperus communis
Juniperus conferta
Juniperus horizontalis
Juniperus monosperma
Juniperus occidentalis
Juniperus osteosperma
Juniperus rigida
Juniperus scopulorum
Juniperus virginiana
Justicia americana
Kalmia latifolia
Kalmia microphylla
Kalmia polifolia
Kirschsteiniothelia acerina
Koanophyllon dolicholepis
Koeleria macrantha
Koelreuteria paniculata
Koerberia biformis
Kohlmeyera complicatula
Krameria erecta
Krascheninnikovia lanata
Kummerowia stipulacea
Kummerowia striata
Lablab purpureus
Lachnanthes caroliana
Lactuca serriola
Lagerstroemia indica
Laguncularia racemosa
Landoltia punctata
Lantana canescens
Larix decidua
Larix kaempferi
Larix laricina
Larix lyallii
Larix occidentalis
Lasallia papulosa
Lathyrus hirsutus
Lathyrus japonicus
Lathyrus latifolius
Lathyrus littoralis
Lathyrus polyphyllus
Lathyrus sylvestris
Lathyrus tuberosus
Lavatera assurgentiflora
Layia munzii
Lecania subfuscula
Lecanora argopholis
Lecanora torrida
Lecidoma demissum
Ledum glandulosum
Ledum groenlandicum
Ledum palustre
Leea indica
Leersia lenticularis
Leersia oryzoides
Leersia virginica
Leitneria floridana
Lemna minor
Lemna trisulca
Lemna valdiviana
Lepanthes rubripetala
Lepianthes peltata
Lepidium montanum
Lepisorus thunbergianus
Lepraria lobificans
Leprocaulon microscopicum
Leptochloa dubia
Leptochloa fusca
Leptosiphon grandiflorus
Leptosiphon nudatus
Lespedeza bicolor
Lespedeza capitata
Lespedeza hirta
Lespedeza thunbergii
Lespedeza virgata
Lessingia germanorum
Lethariicola cucularis
Letrouitia domingensis
Lettauia cladoniicola
Leucaena leucocephala
Leucaena retusa
Leucanthemum vulgare
Leucobryum albidum
Leucodon brachypus
Leucothoe axillaris
Leucothoe fontanesiana
Leucothrinax morrisii
Leymus angustus
Leymus arenarius
Leymus cinereus
Leymus condensatus
Leymus flavescens
Leymus mollis
Leymus racemosus
Leymus salinus
Leymus triticoides
Liatris gracilis
Liatris pilosa
Liatris punctata
Liatris pycnostachya
Liatris spicata
Liatris squarrulosa
Liatris virgata
Licaria parvifolia
Lichenochora thallina
Lichenostigma elongata
Ligustrum amurense
Ligustrum japonicum
Ligustrum ovalifolium
Ligustrum vulgare
Lilaea scilloides
Lilaeopsis occidentalis
Lilium grayi
Limnobium spongia
Limonium carolinianum
Linanthus pungens
Linaria dalmatica
Lindera benzoin
Linum lewisii
Linum striatum
Lippia micromera
Liquidambar styraciflua
Liriodendron tulipifera
Liriope muscari
Listera convallarioides
Lithospermum ruderale
Littorella uniflora
Llimoniella neglecta
Lobelia cardinalis
Lobelia dortmanna
Lobothallia melanaspis
Lobothallia praeradiosa
Loeseneriella macrantha
Lolium perenne
Lolium rigidum
Lomatium canbyi
Lomatium cous
Lomatium dissectum
Lomatium macrocarpum
Lomatium triternatum
Lonicera emphyllocalyx
Lonicera involucrata
Lonicera japonica
Lonicera maackii
Lonicera sempervirens
Lonicera tatarica
Lonicera utahensis
Lophosoria quadripinnata
Lorentziella imbricata
Lotus corniculatus
Lotus crassifolius
Lotus pedunculatus
Lotus tenuis
Lotus wrightii
Ludwigia decurrens
Ludwigia palustris
Lunularia cruciata
Lupinus albicaulis
Lupinus albus
Lupinus angustifolius
Lupinus arboreus
Lupinus arcticus
Lupinus argenteus
Lupinus caespitosus
Lupinus caudatus
Lupinus covillei
Lupinus elegans
Lupinus elmeri
Lupinus havardii
Lupinus latifolius
Lupinus lepidus
Lupinus luteolus
Lupinus luteus
Lupinus magnificus
Lupinus nevadensis
Lupinus nootkatensis
Lupinus palmeri
Lupinus sericeus
Lupinus sulphureus
Lupinus ×alpestris
Luzula parviflora
Luzula piperi
Luzula spicata
Lycium carolinianum
Lycium pallidum
Lycium sandwicense
Lycopodium annotinum
Lycopus americanus
Lycopus asper
Lycopus rubellus
Lycopus virginicus
Lygodium auriculatum
Lyonia ligustrina
Lyonia lucida
Lysimachia lanceolata
Lysimachia thyrsiflora
Machaeranthera bigelovii
Machaeranthera canescens
Machaeranthera tanacetifolia
Maclura pomifera
Macroptilium atropurpureum
Magnolia acuminata
Magnolia fraseri
Magnolia grandiflora
Magnolia portoricensis
Magnolia stellata
Magnolia tripetala
Magnolia virginiana
Magnolia ×soulangiana
Mahonia aquifolium
Mahonia bealei
Mahonia nervosa
Mahonia repens
Malacothamnus densiflorus
Malacothrix foliosa
Malus floribunda
Malus fusca
Malus ioensis
Malus mandshurica
Malus sargentii
Malus sylvestris
Malus toringo
Malus zumi
Malus ×asiatica
Mammea americana
Mangifera indica
Manihot esculenta
Manilkara bidentata
Manilkara zapota
Marcgravia rectiflora
Marsilea ancylopoda
Marsupella sphacelata
Mastigophora woodsii
Matelea reticulata
Maurandella antirrhiniflora
Mayaca fluviatilis
Medicago lupulina
Medicago polymorpha
Medicago sativa
Medicago scutellata
Medusanthera laxiflora
Meesia longiseta
Megaceros aenigmaticus
Melanomma oxysporum
Melaspilea epigena
Melia azedarach
Melianthus major
Melica bulbosa
Melica californica
Melica imperfecta
Melica spectabilis
Melica subulata
Melicoccus bijugatus
Melicope christophersenii
Melicope pseudoanisata
Melilotus indicus
Melilotus officinalis
Meliosma herbertii
Menodora scabra
Mentha arvensis
Mentzelia decapetala
Mentzelia multiflora
Menyanthes trifoliata
Mertensia bella
Mertensia ciliata
Mertensia virginica
Mesoptychia sahlbergii
Metasequoia glyptostroboides
Metrosideros polymorpha
Miconia serrulata
Microcalicium disseminatum
Microlychnus epicorticis
Microseris nutans
Mikania scandens
Mimosa aculeaticarpa
Mimosa microphylla
Mimulus alatus
Mimulus brevipes
Mimulus cardinalis
Mimulus dentatus
Mimulus guttatus
Mimulus nanus
Mimulus nudatus
Mimulus primuloides
Mimulus pygmaeus
Mimulus suksdorfii
Mimulus tilingii
Mirabilis linearis
Mirabilis multiflora
Miscanthus sinensis
Moerckia blyttii
Mollugo cerviana
Monarda fistulosa
Monarda maritima
Monardella douglasii
Monardella exilis
Monolepis nuttalliana
Monotropa hypopitys
Morella californica
Morella caroliniensis
Morella cerifera
Morella inodora
Morella pensylvanica
Morinda citrifolia
Moringa oleifera
Morus alba
Morus rubra
Muhlenbergia asperifolia
Muhlenbergia capillaris
Muhlenbergia cuspidata
Muhlenbergia filipes
Muhlenbergia frondosa
Muhlenbergia glomerata
Muhlenbergia mexicana
Muhlenbergia montana
Muhlenbergia polycaulis
Muhlenbergia porteri
Muhlenbergia pungens
Muhlenbergia racemosa
Muhlenbergia repens
Muhlenbergia richardsonis
Muhlenbergia rigens
Muhlenbergia schreberi
Muhlenbergia sylvatica
Muhlenbergia uniflora
Muhlenbergia wrightii
Multiclavula coronilla
Murdannia keisak
Mycoporum acervatum
Myoporum boninense
Myoporum sandwicense
Myosotis scorpioides
Myosurus apetalus
Myosurus minimus
Myrica gale
Myrosma cannifolia
Myxotrichum bicolor
Najas flexilis
Najas guadalupensis
Najas minor
Nama sandwicense
Nandina domestica
Nanostictis pseudocyphellariae
Nanozostera japonica
Nassella cernua
Nassella lepida
Nassella pulchra
Nassella viridula
Nectandra coriacea
Nectria lecanodes
Nekemias arborea
Nelumbo lutea
Nemophila heterophylla
Nemophila maculata
Neonotonia wightii
Nephroma bellum
Nephrophyllidium crista-galli
Nerium oleander
Nestegis sandwicensis
Niebla caespitosa
Nitrophila occidentalis
Nolina microcarpa
Notholithocarpus densiflorus
Notothylas orbicularis
Nuphar lutea
Nymphaea ampla
Nymphaea mexicana
Nyssa aquatica
Nyssa biflora
Nyssa ogeche
Nyssa sylvatica
Ochna thomasiana
Ochrolechia africana
Ochrolechia tartarea
Ocotea floribunda
Ocotea leucoxylon
Ocotea moschata
Ocotea spathulata
Odontoschisma sphagni
Odontostomum hartwegii
Oedipodium griffithianum
Oemleria cerasiformis
Oenothera biennis
Oenothera caespitosa
Oenothera elata
Oenothera flava
Oenothera fruticosa
Oenothera pallida
Oenothera pilosella
Oligoneuron rigidum
Olneya tesota
Olsynium douglasii
Omphalina alpina
Omphalodes linifolia
Onobrychis viciifolia
Ophioparma rubricosa
Opuntia dillenii
Opuntia ficus-indica
Opuntia polyacantha
Orbexilum macrophyllum
Orthocarpus luteus
Orthocarpus tenuifolius
Orthosiphon aristatus
Orthothecium acuminatum
Osmanthus heterophyllus
Osmorhiza depauperata
Osmorhiza occidentalis
Osmunda cinnamomea
Osmunda claytoniana
Osmunda regalis
Osteomeles anthyllidifolia
Ostrya virginiana
Oxalis albicans
Oxydendrum arboreum
Oxymitra incrassata
Oxyria digyna
Oxytheca parishii
Oxytropis arctica
Oxytropis lambertii
Oxytropis splendens
Pachysandra terminalis
Packera aurea
Packera cana
Packera glabella
Packera tomentosa
Packera tridenticulata
Paeonia brownii
Pandanus tectorius
Panicum amarum
Panicum anceps
Panicum antidotale
Panicum coloratum
Panicum dichotomiflorum
Panicum hemitomon
Panicum miliaceum
Panicum obtusum
Panicum rigidulum
Panicum stenodes
Panicum virgatum
Papaver gorodkovii
Papillaria nigrescens
Parietaria pensylvanica
Parmelia pseudosulcata
Parnassia fimbriata
Parnassia palustris
Paronychia echinulata
Paronychia monticola
Parthenocissus quinquefolia
Parthenocissus tricuspidata
Pascopyrum smithii
Paspalum conjugatum
Paspalum denticulatum
Paspalum dilatatum
Paspalum distichum
Paspalum fluitans
Paspalum hieronymi
Paspalum laeve
Paspalum nicorae
Paspalum plicatulum
Paspalum vaginatum
Paspalum virletii
Passiflora lutea
Passiflora violacea
Paulownia tomentosa
Pectis angustifolia
Pectis prostrata
Pedicularis canadensis
Pedicularis capitata
Pedicularis groenlandica
Pedicularis verticillata
Pedinophyllum interruptum
Pellia appalachiana
Peltandra virginica
Peltigera cinnamomea
Peltolepis grandis
Peltula patellata
Pennisetum alopecuroides
Pennisetum ciliare
Pennisetum flaccidum
Pennisetum glaucum
Pennisetum purpureum
Pennisetum setaceum
Penstemon acuminatus
Penstemon albertinus
Penstemon angustifolius
Penstemon confertus
Penstemon cyananthus
Penstemon deustus
Penstemon digitalis
Penstemon eatonii
Penstemon fruticosus
Penstemon gairdneri
Penstemon glaber
Penstemon hartwegii
Penstemon heterophyllus
Penstemon laetus
Penstemon lyallii
Penstemon newberryi
Penstemon palmeri
Penstemon rydbergii
Penstemon speciosus
Penstemon strictus
Penstemon tenuiflorus
Penstemon venustus
Penstemon whippleanus
Penstemon wilcoxii
Penthorum sedoides
Perideridia gairdneri
Perideridia parishii
Perityle coronopifolia
Perityle rupestris
Persea borbonia
Persea palustris
Petasites frigidus
Petitia domingensis
Phacelia dubia
Phacelia hastata
Phacelia tanacetifolia
Phaeophyscia cernohorskyi
Phalaris aquatica
Phalaris arundinacea
Phalaris truncata
Phaseolus maculatus
Phaulothamnus spinescens
Phegopteris connectilis
Philadelphus coronarius
Philadelphus hitchcockianus
Philadelphus lewisii
Philadelphus microphyllus
Phleum alpinum
Phleum pratense
Phlox diffusa
Phlox divaricata
Phlox glaberrima
Phlox longifolia
Phlox nivalis
Phlox pungens
Phlox subulata
Phlyctis agelaea
Pholisma arenarium
Phoradendron leucarpum
Photinia ×fraseri
Phragmites australis
Phyla nodiflora
Phyllodoce breweri
Phyllostachys aurea
Physaria rollinsii
Physocarpus capitatus
Physocarpus malvaceus
Physocarpus opulifolius
Phytolacca americana
Piccolia conspersa
Picea abies
Picea breweriana
Picea engelmannii
Picea glauca
Picea mariana
Picea pungens
Picea rubens
Picea sitchensis
Picradeniopsis oppositifolia
Picrothamnus desertorum
Pictetia aculeata
Pieris japonica
Pilostyles thurberi
Pinus albicaulis
Pinus aristata
Pinus banksiana
Pinus canariensis
Pinus cembroides
Pinus clausa
Pinus contorta
Pinus coulteri
Pinus echinata
Pinus edulis
Pinus elliottii
Pinus flexilis
Pinus glabra
Pinus jeffreyi
Pinus lambertiana
Pinus monophylla
Pinus monticola
Pinus mugo
Pinus muricata
Pinus nigra
Pinus palustris
Pinus ponderosa
Pinus pungens
Pinus radiata
Pinus resinosa
Pinus rigida
Pinus sabiniana
Pinus serotina
Pinus strobus
Pinus sylvestris
Pinus taeda
Pinus thunbergii
Pinus virginiana
Piper methysticum
Piperia cooperi
Piptatheropsis micrantha
Pipturus albidus
Piriqueta cistoides
Pisonia albida
Pittosporum tobira
Pittosporum viridiflorum
Pityopsis graminifolia
Plagiothecium piliferum
Planchonella sandwicensis
Planera aquatica
Plantago arenaria
Plantago bigelovii
Plantago major
Plantago patagonica
Platanthera obtusata
Platanus occidentalis
Platanus racemosa
Platanus wrightii
Platanus ×hispanica
Platycladus orientalis
Pleopsidium chlorophanum
Pleuraphis jamesii
Pleuraphis mutica
Pleuraphis rigida
Pleurozia purpurea
Pleuroziopsis ruthenica
Pluchea odorata
Poa alpina
Poa annua
Poa arctica
Poa autumnalis
Poa bulbosa
Poa compressa
Poa eminens
Poa fendleriana
Poa glauca
Poa leibergii
Poa leptocoma
Poa macrantha
Poa nervosa
Poa palustris
Poa pratensis
Poa secunda
Poa sylvestris
Poa trivialis
Podocarpus macrophyllus
Podostemum ceratophyllum
Polemonium acutiflorum
Polemonium chartaceum
Polemonium occidentale
Polycarpon depressum
Polygala cowellii
Polygonum amphibium
Polygonum aviculare
Polygonum bistorta
Polygonum bistortoides
Polygonum davisiae
Polygonum hydropiper
Polygonum hydropiperoides
Polygonum pensylvanicum
Polygonum persicaria
Polygonum polygaloides
Polygonum punctatum
Polygonum sagittatum
Polygonum viviparum
Polypogon monspeliensis
Polystichum munitum
Pontederia cordata
Populus alba
Populus angustifolia
Populus balsamifera
Populus deltoides
Populus fremontii
Populus grandidentata
Populus heterophylla
Populus nigra
Populus tremuloides
Populus ×canadensis
Porotrichum bigelovii
Posidonia oceanica
Potamogeton amplifolius
Potamogeton crispus
Potamogeton diversifolius
Potamogeton epihydrus
Potamogeton foliosus
Potamogeton gramineus
Potamogeton hillii
Potamogeton natans
Potamogeton nodosus
Potamogeton praelongus
Potamogeton robbinsii
Potamogeton zosteriformis
Potentilla arguta
Potentilla diversifolia
Potentilla glandulosa
Potentilla gracilis
Potentilla plattensis
Prenanthes roanensis
Prestoea acuminata
Primula incana
Pritchardia maideniana
Pritchardia munroi
Prosopis pubescens
Prosopis reptans
Protothelenella corrosa
Protothelenella leucothelia
Prunella vulgaris
Prunus americana
Prunus angustifolia
Prunus emarginata
Prunus fasciculata
Prunus fruticosa
Prunus ilicifolia
Prunus maritima
Prunus nigra
Prunus padus
Prunus pensylvanica
Prunus pumila
Prunus serotina
Prunus subcordata
Prunus tenella
Prunus tomentosa
Prunus virginiana
Psathyrostachys juncea
Psathyrotopsis scaposa
Pseudoditrichum mirabile
Pseudoleskea atricha
Pseudorchis straminea
Pseudoroegneria libanotica
Pseudoroegneria spicata
Pseudotsuga macrocarpa
Pseudotsuga menziesii
Psidium guajava
Psilotum complanatum
Psora tenuifolia
Psora vallesiaca
Psydrax odorata
Ptelea trifoliata
Pteridium aquilinum
Pterocarpus officinalis
Pteryxia terebinthina
Ptilagrostis kingii
Ptilidium californicum
Ptychographa xylographoides
Puccinellia nuttalliana
Punctelia subpraesignis
Punica granatum
Purshia glandulosa
Purshia stansburiana
Purshia tridentata
Pycnanthemum verticillatum
Pyracantha coccinea
Pyrenothrix nigra
Pyrrhobryum spiniforme
Pyrus calleryana
Pyrus communis
Pyrus ussuriensis
Quercus acutissima
Quercus agrifolia
Quercus alba
Quercus bicolor
Quercus chrysolepis
Quercus coccinea
Quercus douglasii
Quercus dumosa
Quercus falcata
Quercus gambelii
Quercus garryana
Quercus imbricaria
Quercus kelloggii
Quercus laevis
Quercus laurifolia
Quercus lobata
Quercus lyrata
Quercus macrocarpa
Quercus marilandica
Quercus michauxii
Quercus mohriana
Quercus montana
Quercus muehlenbergii
Quercus nigra
Quercus pagoda
Quercus palustris
Quercus phellos
Quercus pumila
Quercus rubra
Quercus shumardii
Quercus stellata
Quercus texana
Quercus vacciniifolia
Quercus velutina
Quercus virginiana
Racopilum tomentosum
Radula auriculata
Ranunculus abortivus
Ranunculus alismifolius
Ranunculus cymbalaria
Ranunculus eschscholtzii
Ranunculus flammula
Ranunculus glaberrimus
Ranunculus hispidus
Ranunculus hyperboreus
Ranunculus laxicaulis
Ranunculus longirostris
Ranunculus macounii
Ranunculus pensylvanicus
Ranunculus repens
Ranunculus sceleratus
Ratibida columnifera
Ratibida pinnata
Ratibida tagetes
Rauiella praelonga
Rauvolfia nitida
Remirea maritima
Rhachithecium perpusillum
Rhamnus alnifolia
Rhamnus crocea
Rhexophyllum subnigrum
Rhizocarpon intersitum
Rhizocarpon macrosporum
Rhododendron albiflorum
Rhododendron arborescens
Rhododendron atlanticum
Rhododendron canadense
Rhododendron canescens
Rhododendron lapponicum
Rhododendron macrophyllum
Rhododendron maximum
Rhododendron occidentale
Rhododendron periclymenoides
Rhododendron viscosum
Rhus copallinum
Rhus glabra
Rhus microphylla
Rhus ovata
Rhus trilobata
Rhus typhina
Rhynchosia caribaea
Rhynchospora corniculata
Rhynchospora fusca
Rhytidiadelphus triquetrus
Rhytidium rugosum
Ribes americanum
Ribes aureum
Ribes cereum
Ribes erythrocarpum
Ribes hudsonianum
Ribes inerme
Ribes lacustre
Ribes montigenum
Ribes nevadense
Ribes roezlii
Ribes sanguineum
Ribes triste
Ribes viburnifolium
Ribes viscosissimum
Riccia albida
Riella affinis
Rimularia caeca
Rinodina adirondackii
Rinodina silicicola
Robinia hispida
Robinia neomexicana
Robinia pseudoacacia
Roccella fimbriata
Romanzoffia californica
Rorippa curvisiliqua
Rorippa sessiliflora
Rorippa sinuata
Rorippa sylvestris
Rosa acicularis
Rosa arkansana
Rosa californica
Rosa carolina
Rosa gymnocarpa
Rosa nutkana
Rosa palustris
Rosa pisocarpa
Rosa rubiginosa
Rosa rugosa
Rosa setigera
Rosa virginiana
Rosa wichuraiana
Rosa woodsii
Rosmarinus officinalis
Roystonea borinquena
Rubus allegheniensis
Rubus alumnus
Rubus arcticus
Rubus argutus
Rubus baileyanus
Rubus canadensis
Rubus chamaemorus
Rubus cuneifolius
Rubus flagellaris
Rubus glandicaulis
Rubus hispidus
Rubus idaeus
Rubus invisus
Rubus laciniatus
Rubus leucodermis
Rubus occidentalis
Rubus odoratus
Rubus parviflorus
Rubus riograndis
Rubus spectabilis
Rubus ursinus
Rubus vermontanus
Rudbeckia hirta
Rudbeckia laciniata
Rudbeckia maxima
Rudbeckia nitida
Rudbeckia texana
Ruellia davisiorum
Ruellia humilis
Ruellia malacosperma
Ruellia strepens
Rumex aquaticus
Rumex arcticus
Rumex krausei
Rumex maritimus
Rumex pseudonatronatus
Rumex venosus
Ruppia anomala
Ruppia maritima
Sabal causiarum
Sabal minor
Sabal palmetto
Sabatia stellaris
Saccharum brevibarbe
Saccharum giganteum
Saccharum officinarum
Saccharum ravennae
Sacciolepis striata
Sagediopsis barbara
Sagina saginoides
Sagittaria cuneata
Sagittaria latifolia
Sagittaria platyphylla
Sairocarpus breweri
Salicornia depressa
Salicornia rubra
Salix L.
Salix alaxensis
Salix alba
Salix amygdaloides
Salix arbusculoides
Salix barclayi
Salix bebbiana
Salix bonplandiana
Salix boothii
Salix brachycarpa
Salix candida
Salix caroliniana
Salix commutata
Salix discolor
Salix drummondiana
Salix eriocephala
Salix exigua
Salix fuscescens
Salix geyeriana
Salix glauca
Salix gooddingii
Salix hastata
Salix hookeriana
Salix humilis
Salix interior
Salix irrorata
Salix lasiolepis
Salix lemmonii
Salix ligulifolia
Salix lucida
Salix lutea
Salix monticola
Salix nigra
Salix niphoclada
Salix orestera
Salix pentandra
Salix planifolia
Salix polaris
Salix prolixa
Salix pulchra
Salix purpurea
Salix reticulata
Salix richardsonii
Salix rotundifolia
Salix scouleriana
Salix sericea
Salix sessilifolia
Salix sitchensis
Salix taxifolia
Salix ×cottetii
Salix ×sepulcralis
Salvia azurea
Salvia dorrii
Salvinia auriculata
Sambucus nigra
Sambucus racemosa
Sanguisorba minor
Sanicula arctopoides
Sapindus saponaria
Saponaria officinalis
Sarcobatus vermiculatus
Sassafras albidum
Saxifraga odontoloma
Saxifragopsis fragarioides
Scabiosa caucasica
Scaevola gaudichaudiana
Scaevola sericea
Schedonorus arundinaceus
Schedonorus pratensis
Schefflera morototonii
Scheuchzeria palustris
Schinus terebinthifolius
Schisandra glabra
Schistostega pennata
Schizachyrium scoparium
Schizachyrium tenerum
Schoenoplectus acutus
Schoenoplectus americanus
Schoenoplectus californicus
Schoenoplectus heterochaetus
Schoenoplectus pungens
Schoenoplectus tabernaemontani
Schwetschkeopsis fabronia
Sciaphila multiflora
Scirpus atrovirens
Scirpus cyperinus
Scirpus georgianus
Scirpus hattorianus
Scirpus microcarpus
Scirpus pallidus
Scirpus pedicellatus
Scirpus pendulus
Scolochloa festucacea
Scouleria aquatica
Scutula miliaris
Secale cereale
Securigera varia
Sedella pumila
Selaginella apoda
Selaginella pilifera
Selenia grandis
Senecio flaccidus
Senecio hydrophiloides
Senecio integerrimus
Senecio triangularis
Senecio vulgaris
Senegalia greggii
Senna alata
Senna gaudichaudii
Senna marilandica
Sequoia sempervirens
Sequoiadendron giganteum
Serenoa repens
Sericocarpus tortifolius
Sesbania cannabina
Sesbania grandiflora
Sesbania tomentosa
Setaria barbata
Setaria italica
Setaria pumila
Setaria vulpiseta
Shepherdia argentea
Shepherdia canadensis
Sida ciliaris
Sidalcea elegans
Sidalcea neomexicana
Sidalcea oregana
Sideroxylon lycioides
Sideroxylon reclinatum
Sideroxylon thornei
Silene csereii
Silene involucrata
Silene oregana
Silene uralensis
Silphium compositum
Silphium perfoliatum
Simmondsia chinensis
Siphonoglossa sessilis
Sisymbrium altissimum
Sisyrinchium angustifolium
Sisyrinchium idahoense
Sisyrinchium langloisii
Sisyrinchium montanum
Sisyrinchium mucronatum
Sloanea berteriana
Smilax biltmoreana
Smilax bona-nox
Smilax glauca
Smilax laurifolia
Smilax rotundifolia
Smilax smallii
Smilax walteri
Solanum lycopersicum
Solanum melongena
Solenostemon scutellarioides
Solidago altissima
Solidago caesia
Solidago canadensis
Solidago fistulosa
Solidago flexicaulis
Solidago gigantea
Solidago missouriensis
Solidago multiradiata
Solidago nemoralis
Solidago patula
Solidago radula
Solidago rugosa
Solidago sempervirens
Solidago uliginosa
Solmsiella biseriata
Solorina octospora
Sophora chrysophylla
Sophora secundiflora
Sorbus americana
Sorbus aucuparia
Sorbus decora
Sorbus scopulina
Sorbus sitchensis
Sorghastrum nutans
Sorghum bicolor
Sorghum halepense
Sparganium americanum
Sparganium angustifolium
Sparganium eurycarpum
Spartina alterniflora
Spartina bakeri
Spartina cynosuroides
Spartina gracilis
Spartina patens
Spartina pectinata
Spartina spartinae
Sphaeralcea ambigua
Sphaeralcea coccinea
Sphaeralcea grossulariifolia
Sphaeralcea munroana
Sphaerellothecium minutum
Sphagnum angustifolium
Sphenoclea zeylanica
Sphenopholis obtusata
Sphinctospermum constrictum
Sphinctrina anglica
Spiraea alba
Spiraea betulifolia
Spiraea douglasii
Spiraea japonica
Spiraea prunifolia
Spiraea tomentosa
Spiraea trilobata
Spiranthes cernua
Spiranthes romanzoffiana
Spirodela polyrrhiza
Splachnum luteum
Spondias mombin
Sporobolus airoides
Sporobolus compositus
Sporobolus cryptandrus
Sporobolus flexuosus
Sporobolus heterolepis
Sporobolus interruptus
Sporobolus virginicus
Sporobolus wrightii
Stachys palustris
Stachys rothrockii
Stachys tenuifolia
Stahlia monosperma
Steinia geophana
Stellaria longifolia
Stellaria longipes
Stellaria nitens
Stellaria umbellata
Stemodia verticillata
Stenotaphrum secundatum
Stenotus armerioides
Stephanomeria blairii
Strigula connivens
Stuckenia filiformis
Stuckenia pectinata
Stylisma pickeringii
Stylosanthes fruticosa
Styphelia mariannensis
Styrax americanus
Styrax grandifolius
Suriana maritima
Swietenia macrophylla
Swietenia mahagoni
Symphoricarpos albus
Symphoricarpos occidentalis
Symphoricarpos orbiculatus
Symphoricarpos oreophilus
Symphyotrichum chilense
Symphyotrichum concolor
Symphyotrichum cordifolium
Symphyotrichum foliaceum
Symphyotrichum laeve
Symphyotrichum lanceolatum
Symphyotrichum lateriflorum
Symphyotrichum novi-belgii
Symphyotrichum patens
Symphyotrichum pilosum
Symphyotrichum prenanthoides
Symphyotrichum puniceum
Symphyotrichum subspicatum
Symphyotrichum subulatum
Symplocarpus foetidus
Symplocos micrantha
Symplocos tinctoria
Syringa reticulata
Syringa villosa
