Abelia ×grandiflora
Artocarpus altilis
Arundinaria gigantea
Arundinaria tecta
Arundo donax
Ascidiota blepharophylla
Asclepias feayi
Asclepias incarnata
Asclepias speciosa
Asclepias tuberosa
Asimina triloba
Aspicarpa longipes
Aspicilia lesleyana
Aspicilia nordlandica
Aspicilia pertusa
Asplenium acuminatum
Asplenium adiantum-nigrum
Asplenium trichomanes-ramosum
Aster alpinus
Asterella bolanderi
Asterothyrium rotuliforme
Astragalus agrestis
Astragalus anserinus
Astragalus canadensis
Astragalus chinensis
Astragalus cicer
Astragalus curvicarpus
Astragalus filipes
Astragalus holmgreniorum
Astragalus lentiginosus
Astragalus microcystis
Astragalus parryi
Astragalus purshii
Astrothelium cinnamomeum
Asyneuma prenanthoides
Atamisquea emarginata
Athalamia hyalina
Athelia epiphylla
Athyrium americanum
Athyrium filix-femina
Atrichum angustatum
Atriplex canescens
Atriplex confertifolia
Atriplex falcata
Atriplex gardneri
Atriplex lentiformis
Atriplex nummularia
Atriplex pacifica
Atriplex patula
Atriplex polycarpa
Atriplex semibaccata
Atriplex ×aptera
Aulacomnium heterostichum
Avena fatua
Avena sativa
Avena strigosa
Avicennia germinans
Axonopus compressus
Azolla caroliniana
Baccharis angustifolia
Baccharis halimifolia
Baccharis pilularis
Baccharis salicifolia
Baccharis sarothroides
Baccharis sergiloides
Bacidia circumspecta
Bacidina aenea
Bacopa rotundifolia
Bactrospora brevispora
Balanophora fungosa
Balsamorhiza careyana
Balsamorhiza hookeri
Balsamorhiza macrophylla
Balsamorhiza sagittata
Balsamorhiza serrata
Bambusa vulgaris
Baptisia alba
Baptisia tinctoria
Barringtonia racemosa
Bartonia paniculata
Bassia americana
Bassia hyssopifolia
Bassia prostrata
Bassia scoparia
Batis maritima
Bauhinia corymbosa
Bazzania ambigua
Beckmannia syzigachne
Begonia cucullata
Beilschmiedia pendula
Belonia russula
Benincasa hispida
Bensoniella oregona
Berberis fendleri
Berberis julianae
Berberis thunbergii
Bergia texana
Berlandiera lyrata
Berlandiera subacaulis
Berula erecta
Betula alleghaniensis
Betula lenta
Betula nana
Betula nigra
Betula occidentalis
Betula papyrifera
Betula pendula
Betula populifolia
Betula pumila
Betula ×sargentii
Bidens aristosa
Bidens cernua
Bidens connata
Bidens coronata
Bidens discoidea
Bidens frondosa
Bidens laevis
Bidens mitis
Bidens tripartita
Bixa orellana
Blasia pusilla
Blechnum divergens
Blechnum spicant
Blepharoneuron tricholepis
Blepharostoma arachnoideum
Boehmeria celebica
Boehmeria cylindrica
Bolboschoenus fluviatilis
Bolboschoenus maritimus
Bolboschoenus robustus
Boltonia asteroides
Borrichia frutescens
Bothriochloa barbinodis
Bothriochloa bladhii
Bothriochloa ischaemum
Bothriochloa pertusa
Bothriochloa saccharoides
Botrychium alaskense
Botrychium lanceolatum
Botrychium lunaria
Botrychium virginianum
Bouteloua breviseta
Bouteloua curtipendula
Bouteloua dactyloides
Bouteloua eriopoda
Bouteloua gracilis
Bouteloua hirsuta
Brachelyma subulatum
Brachiaria serrata
Brachydontium trichodes
Brachythecium acuminatum
Brasenia schreberi
Brassica juncea
Brassica napus
Brassica rapa
Brigantiaea purpurata
Briza maxima
Bromelia pinguin
Bromus anomalus
Bromus arvensis
Bromus biebersteinii
Bromus briziformis
Bromus carinatus
Bromus catharticus
Bromus ciliatus
Bromus hordeaceus
Bromus inermis
Bromus kalmii
Bromus marginatus
Bromus rubens
Bromus sitchensis
Bromus tectorum
Bromus vulgaris
Brotherella recurvans
Bruchia flexuosa
Bruguiera gymnorhiza
Brunellia comocladiifolia
Bryobrittonia longipes
Bryocrumia vivicolor
Bryohaplocladium microphyllum
Bryoxiphium norvegicum
Bucegia romanica
Buchenavia tetraphylla
Bucida buceras
Buckleya distichophylla
Buddleja lindleyana
Buellia stigmaea
Bullatina aspidota
Bunodophoron melanocarpum
Bursera simaruba
Butomus umbellatus
Buxbaumia minakatae
Byrsonima spicata
Byssoloma marginatum
Cabomba caroliniana
Caesalpinia gilliesii
Caesalpinia monensis
Cajanus cajan
Calamagrostis breweri
Calamagrostis canadensis
Calamagrostis coarctata
Calamagrostis rubescens
Calamagrostis stricta
Calamovilfa longifolia
Calliandra eriophylla
Callicarpa americana
Callicostella pallida
Callirhoe involucrata
Callistemon citrinus
Callitriche hermaphroditica
Callitriche heterophylla
Callitriche palustris
Callitropsis nootkatensis
Calocedrus decurrens
Calochortus macrocarpus
Calochortus nudus
Calochortus pulchellus
Caloncoba echinata
Calopadia fusca
Calophyllum antillanum
Calophyllum inophyllum
Caloplaca albovariegata
Caltha leptosepala
Caltha palustris
Calycanthus brockianus
Calycera balsamitifolia
Calycocarpum lyonii
Calycularia crispula
Calylophus berlandieri
Calymperes afzelii
Calypogeia fissa
Camassia quamash
Camassia scilloides
Camissonia lacustris
Campanula aparinoides
Campanulastrum americanum
Campnosperma brevipetiolatum
Campsis radicans
Campylocentrum filiforme
Campylopus pilifer
Campylostelium saxicola
Canadanthus modestus
Candelina submexicana
Canella winterana
Canna sylvestris
Canna ×generalis
Cannabis sativa
Capparis amplissima
Capparis baducca
Capparis cynophallophora
Capparis flexuosa
Capparis hastata
Capparis indica
Capparis sandwichiana
Caragana arborescens
Cardamine breweri
Cardamine bulbosa
Cardamine cordifolia
Cardamine douglassii
Cardamine oligosperma
Cardamine pensylvanica
Carex abscondita
Carex albolutescens
Carex amphibola
Carex aperta
Carex aquatilis
Carex atherodes
Carex athrostachya
Carex atlantica
Carex aurea
Carex baileyi
Carex bebbii
Carex bella
Carex bicknellii
Carex bigelowii
Carex blanda
Carex bushii
Carex canescens
Carex capillaris
Carex cephalophora
Carex comosa
Carex crinita
Carex cristatella
Carex crus-corvi
Carex debilis
Carex decomposita
Carex deweyana
Carex diandra
Carex disperma
Carex douglasii
Carex echinata
Carex exserta
Carex filifolia
Carex flaccosperma
Carex frankii
Carex geyeri
Carex glaucescens
Carex gracillima
Carex granularis
Carex grayi
Carex halliana
Carex hendersonii
Carex hyalinolepis
Carex interior
Carex intumescens
Carex joorii
Carex kobomugi
Carex lacustris
Carex lenticularis
Carex leptalea
Carex leptonervia
Carex limosa
Carex livida
Carex lupulina
Carex lurida
Carex luzulina
Carex lyngbyei
Carex mariposana
Carex mertensii
Carex microptera
Carex molesta
Carex muskingumensis
Carex nebrascensis
Carex normalis
Carex obnupta
Carex pachystachya
Carex polymorpha
Carex praegracilis
Carex prasina
Carex projecta
Carex ramenskii
Carex raynoldsii
Carex rossii
Carex rostrata
Carex rupestris
Carex saxatilis
Carex scabrata
Carex scirpoidea
Carex scoparia
Carex scopulorum
Carex shortiana
Carex simulata
Carex sparganioides
Carex squarrosa
Carex stipata
Carex straminea
Carex stricta
Carex subspathacea
Carex tenera
Carex torta
Carex tribuloides
Carex trichocarpa
Carex trisperma
Carex typhina
Carex utriculata
Carex vesicaria
Carex viridula
Carex vulpinoidea
Carex ×clausa
Carex ×rollandii
Carica papaya
Carludovica palmata
Carnegiea gigantea
Carphephorus paniculatus
Carpinus caroliniana
Carthamus leucocaulos
Carya aquatica
Carya cordiformis
Carya glabra
Carya illinoinensis
Carya laciniosa
Carya myristiciformis
Carya ovata
Carya tomentosa
Casearia arborea
Cassine xylocarpa
Cassiope tetragona
Castanea crenata
Castanea dentata
Castanea mollissima
Castanea pumila
Castilleja angustifolia
Castilleja applegatei
Castilleja coccinea
Castilleja hispida
Castilleja sessiliflora
Casuarina cunninghamiana
Casuarina equisetifolia
Casuarina glauca
Catalpa bignonioides
Catalpa speciosa
Cathestecum erectum
Catoscopium nigritum
Caulerpa taxifolia
Caulophyllum thalictroides
Ceanothus americanus
Ceanothus cordulatus
Ceanothus cuneatus
Ceanothus fresnensis
Ceanothus greggii
Ceanothus integerrimus
Ceanothus megacarpus
Ceanothus palmeri
Ceanothus papillosus
Ceanothus prostratus
Ceanothus sanguineus
